dataset,fraction_rows,wall_time_sec,cir_agreement,proj_residual,sym_kl,jaccard_at_8
20ng_bin,0.6,1.1898868083953857,0.0004140357784731889,0.1957126175800666,0.011473778074348434,0.45454545454541323
20ng_bin,0.8,1.4263663291931152,4.841063551108073e-05,0.14619042286322265,0.006020352172239226,0.59999999999994
20ng_bin,1.0,1.6831955909729004,7.040126438752195e-06,0.06295011316456739,0.005337843378187792,0.59999999999994
har6,0.2,8.10517692565918,1.553699630812172e-06,0.1344912461003035,0.043792272291955495,0.33333333333330556
har6,0.3,11.374692440032959,1.5489218839867506e-06,0.10897411307964767,0.021339220364953965,0.45454545454541323
har6,0.4,13.37757396697998,1.181531169116828e-07,0.09303956771154717,0.013234335772407261,0.59999999999994
har6,0.6,17.869974374771118,4.6786626710731285e-09,0.05048922691143065,0.000474708269512411,0.999999999999875
har6,0.8,19.543811082839966,4.05867836257982e-09,0.005089620805950075,1.1225301909290443e-05,0.7777777777776913
har6,1.0,24.423892974853516,7.543648635015981e-10,0.0010342652307698203,1.8412914485737013e-06,0.999999999999875
digits8x8,0.2,0.10503458976745605,0.0043439857161478084,0.43814497407023556,0.0712060354354478,0.59999999999994
digits8x8,0.3,0.1883993148803711,0.0008319673533662415,0.3090674486953831,0.04154304020115708,0.7777777777776913
digits8x8,0.4,0.179931640625,0.0004956635984393055,0.29610389081971317,0.016329345870292805,0.59999999999994
digits8x8,0.6,0.22239208221435547,0.0001727645239363768,0.21005943962672313,0.019459507799849264,0.7777777777776913
digits8x8,0.8,0.24830007553100586,3.168773390411164e-05,0.10550283770777054,0.011064868086989713,0.7777777777776913
digits8x8,1.0,0.299562931060791,1.612986908808923e-06,0.003135579196287273,1.1091640302886524e-05,0.7777777777776913
california,0.2,0.1453111171722412,0.0009348732924650955,0.1409265461344568,0.002220187422376858,0.999999999999875
california,0.3,0.19861173629760742,0.002134600859432277,0.12982595755509735,0.0014337234922109693,0.999999999999875
california,0.4,0.17846059799194336,0.002681526645232271,0.10993809194832267,0.0007333359704732976,0.999999999999875
california,0.6,0.2054140567779541,0.00013974582432141783,0.09926752193218928,0.0007973820044115999,0.999999999999875
california,0.8,0.23672938346862793,0.00017782927264626378,0.08574837797912349,0.0006952708228428792,0.999999999999875
california,1.0,0.23906230926513672,0.0007687848451576041,0.0700291176222313,0.0004001737177885642,0.999999999999875
diabetes,0.2,0.029787540435791016,0.0007453448718663481,0.320790860362958,0.03858466720394937,0.999999999999875
diabetes,0.3,0.041017770767211914,0.017489212124457056,0.2800182291927307,0.037329954457987334,0.7777777777776913
diabetes,0.4,0.04719877243041992,0.009305035176824152,0.250077846758532,0.05945930504452266,0.999999999999875
diabetes,0.6,0.06304502487182617,0.0037870758338888885,0.22264971660549499,0.030634918697015425,0.999999999999875
diabetes,0.8,0.09723424911499023,6.489246424414705e-05,0.1546307677070464,0.01247693246460689,0.999999999999875
diabetes,1.0,0.16379380226135254,3.863316770750909e-05,0.011346606071644285,5.984088804074838e-05,0.999999999999875
iris,0.2,0.019347190856933594,3.4453961037937567e-06,0.12089786127604238,0.0014243912414603575,0.99999999999975
iris,0.3,0.021648883819580078,3.4453961037937567e-06,0.12089786127604238,0.0014243912414603575,0.99999999999975
iris,0.4,0.030583858489990234,3.4453961037937567e-06,0.12089786127604238,0.0014243912414603575,0.99999999999975
iris,0.6,0.025629758834838867,1.3456385504832447e-05,0.033966841463900506,0.00022812745537852033,0.99999999999975
iris,0.8,0.02974867820739746,7.35924157092895e-06,0.036462829662970736,0.00010090138910347733,0.99999999999975
iris,1.0,0.028557538986206055,9.248986500598114e-05,0.005750457624999349,1.2110592494824109e-05,0.99999999999975
wine,0.2,0.022747278213500977,1.2532670566348037e-05,0.12812312942418305,0.0057771818153764115,0.999999999999875
wine,0.3,0.026445865631103516,1.2532670566348037e-05,0.12812312942418305,0.0057771818153764115,0.999999999999875
wine,0.4,0.029420137405395508,0.0002671100606609252,0.16988588455329137,0.005330442417339765,0.999999999999875
wine,0.6,0.04744267463684082,1.1545511314748555e-08,0.02566982680769679,0.00019065944889222735,0.999999999999875
wine,0.8,0.03819870948791504,5.104090606159735e-08,0.009669181534116951,9.749358203311716e-06,0.999999999999875
wine,1.0,0.038942575454711914,1.850077888474759e-08,0.0016826651830953796,4.068767774133091e-07,0.999999999999875
synthetic_clf,0.2,0.1673595905303955,0.0001262090529603238,0.3580577961818318,0.14017275158732614,0.7777777777776913
synthetic_clf,0.3,0.24137115478515625,0.0001294090291849995,0.297140882988989,0.08691033759338204,0.7777777777776913
synthetic_clf,0.4,0.272491455078125,4.025649717011775e-05,0.2540923109146468,0.06591114857976582,0.7777777777776913
synthetic_clf,0.6,0.3749809265136719,7.153964059671023e-05,0.21190150373831437,0.034992412201914486,0.999999999999875
synthetic_clf,0.8,0.351459264755249,3.8290112040990595e-05,0.1619060575948534,0.007550722861314002,0.999999999999875
synthetic_clf,1.0,0.601590633392334,1.3995325452425244e-07,0.02979751677344167,0.0022469751104979216,0.999999999999875
synthetic_reg,0.2,0.4402792453765869,0.002100777429362784,0.48426470764386526,0.10816972878358322,0.999999999999875
synthetic_reg,0.3,0.5807051658630371,0.001673472307222831,0.40884453453189756,0.036827141681155286,0.999999999999875
synthetic_reg,0.4,0.5880241394042969,0.00019061845293565576,0.34629856150082117,0.020177044793869288,0.999999999999875
synthetic_reg,0.6,0.5940258502960205,0.00013318414065081698,0.249786801612232,0.004996844287979053,0.999999999999875
synthetic_reg,0.8,1.03721284866333,1.3400851588994124e-05,0.18034765638058473,0.0016015662142013598,0.999999999999875
synthetic_reg,1.0,1.2234625816345215,5.837622399256621e-07,0.030475647237685945,3.222101399230111e-05,0.999999999999875
ecg_heartbeat,0.2,0.0433955192565918,0.00031342201041006175,0.4053699902432672,0.01219547180209093,0.999999999999875
ecg_heartbeat,0.3,0.0645589828491211,8.282953211373476e-05,0.3666850848801604,0.02675812551795821,0.999999999999875
ecg_heartbeat,0.4,0.07200384140014648,0.0011481810775491128,0.3531618663463157,0.019745695656063197,0.999999999999875
ecg_heartbeat,0.6,0.08868193626403809,3.4659866375483746e-05,0.25657974350521956,0.010638108850988526,0.999999999999875
