dataset,method,fraction_kept,insertion,deletion
har6,PDP-var,0.125,0.9393203883495146,0.5567961165048544
har6,PDP-var,0.25,0.9412621359223301,0.42718446601941745
har6,PDP-var,0.375,0.9679611650485437,0.1825242718446602
har6,PDP-var,0.5,0.9791262135922331,0.1669902912621359
har6,PDP-var,0.625,0.9868932038834951,0.1669902912621359
har6,PDP-var,0.75,0.9927184466019418,0.1669902912621359
har6,PDP-var,0.875,0.9927184466019418,0.1669902912621359
har6,PDP-var,1.0,0.9927184466019418,0.1669902912621359
har6,MI(pred),0.0,0.1669902912621359,0.9927184466019418
har6,MI(pred),0.125,0.17766990291262136,0.9805825242718447
har6,MI(pred),0.25,0.3441747572815534,0.9655339805825243
har6,MI(pred),0.375,0.4597087378640777,0.8970873786407767
har6,MI(pred),0.5,0.7325242718446602,0.7893203883495146
har6,MI(pred),0.625,0.7597087378640777,0.6140776699029126
har6,MI(pred),0.75,0.9558252427184466,0.23058252427184467
har6,MI(pred),0.875,0.9868932038834951,0.16747572815533981
har6,MI(pred),1.0,0.9927184466019418,0.1669902912621359
har6,MI(label),0.0,0.1669902912621359,0.9932038834951457
har6,MI(label),0.125,0.36067961165048545,0.8446601941747572
har6,MI(label),0.25,0.6378640776699029,0.8053398058252427
har6,MI(label),0.375,0.6597087378640777,0.8330097087378641
har6,MI(label),0.5,0.7237864077669903,0.7179611650485437
har6,MI(label),0.625,0.9393203883495146,0.3
har6,MI(label),0.75,0.9577669902912621,0.19805825242718447
har6,MI(label),0.875,0.9796116504854369,0.16747572815533981
har6,MI(label),1.0,0.9927184466019418,0.1669902912621359
har6,Surrogate-LR,0.0,0.1669902912621359,0.9922330097087378
har6,Surrogate-LR,0.125,0.695631067961165,0.9572815533980582
har6,Surrogate-LR,0.25,0.7228155339805825,0.7407766990291262
har6,Surrogate-LR,0.375,0.8446601941747572,0.6412621359223301
har6,Surrogate-LR,0.5,0.8694174757281553,0.6043689320388349
har6,Surrogate-LR,0.625,0.9072815533980583,0.595631067961165
har6,Surrogate-LR,0.75,0.9655339805825243,0.4733009708737864
