dataset,repeat_idx,cir,jaccard@8,precision@8,spearman
har6,0,1.124125798167157e-05,0.7777777777776913,0.875,0.9942140545946647
har6,1,1.1299970165845709e-05,0.7777777777776913,0.875,0.9952540084373254
har6,2,1.1288614336349157e-05,0.7777777777776913,0.875,0.9947699177736857
har6,3,1.1470467976921453e-05,0.999999999999875,1.0,0.9944724968197949
har6,4,1.1295584798962335e-05,0.999999999999875,1.0,0.9953027403440756
har6,5,1.1276356208551403e-05,0.7777777777776913,0.875,0.9947480665770047
har6,6,1.1343685579338074e-05,0.59999999999994,0.75,0.9949050009880043
har6,7,1.1534853076006298e-05,0.7777777777776913,0.875,0.9946688517411364
har6,8,1.1318622490065264e-05,0.7777777777776913,0.875,0.9950522501874111
har6,9,1.108317043304302e-05,0.7777777777776913,0.875,0.9950362780840828
har6,10,1.1301914934064352e-05,0.7777777777776913,0.875,0.9947705634544587
har6,11,1.1224848786142084e-05,0.7777777777776913,0.875,0.995212854783856
har6,12,1.1219120370961136e-05,0.7777777777776913,0.875,0.994198286390528
har6,13,1.1523644053010755e-05,0.7777777777776913,0.875,0.995345457224679
har6,14,1.1162856305382919e-05,0.7777777777776913,0.875,0.9943772419142013
digits8x8,0,0.008353252280368796,0.45454545454541323,0.625,0.7916199250501548
digits8x8,1,0.005717091287510946,0.45454545454541323,0.625,0.8064338919474606
digits8x8,2,0.004429568832649265,0.59999999999994,0.75,0.7708986885091013
digits8x8,3,0.009718137737374845,0.45454545454541323,0.625,0.7538179786089619
digits8x8,4,0.0063918607214239745,0.45454545454541323,0.625,0.7494676637550391
digits8x8,5,0.005009098546681848,0.45454545454541323,0.625,0.7629307434082321
digits8x8,6,0.005335768776933426,0.45454545454541323,0.625,0.8068689234328529
digits8x8,7,0.00479647975637697,0.45454545454541323,0.625,0.8270177501247062
digits8x8,8,0.006346139046794261,0.45454545454541323,0.625,0.8304751056138765
digits8x8,9,0.005544677093384011,0.45454545454541323,0.625,0.7431482590198668
digits8x8,10,0.004710387425231119,0.45454545454541323,0.625,0.7637092208031446
digits8x8,11,0.0033597939380422665,0.59999999999994,0.75,0.8094333195572707
